period,series_reference,region_name,filled jobs,filled jobs revised
2020.09,BDCQ.SED1RA,Northland,65520,65904
2020.09,BDCQ.SED1RB,Auckland,708372,714506
2020.09,BDCQ.SED1RC,Waikato,198776,200265
2020.09,BDCQ.SED1RD,Bay of Plenty,127323,128540
2020.09,BDCQ.SED1RE,Gisborne,20417,20632
2020.09,BDCQ.SED1RF,Hawke's Bay,71967,72600
2020.09,BDCQ.SED1RG,Taranaki,49239,49599
2020.09,BDCQ.SED1RH,Manawatu-Whanganui,101946,102617
2020.09,BDCQ.SED1RI,Wellington,237102,239076
2020.09,BDCQ.SED1RJ,Tasman,22298,22482
2020.09,BDCQ.SED1RK,Nelson,19009,19190
2020.09,BDCQ.SED1RL,Marlborough,24745,24844
2020.09,BDCQ.SED1RM,West Coast,13626,13646
2020.09,BDCQ.SED1RN,Canterbury,275569,278290
2020.09,BDCQ.SED1RO,Otago,103405,104211
2020.09,BDCQ.SED1RP,Southland,43598,44007
2020.12,BDCQ.SED1RA,Northland,67629,68137
2020.12,BDCQ.SED1RB,Auckland,713636,721492
2020.12,BDCQ.SED1RC,Waikato,203030,204389
2020.12,BDCQ.SED1RD,Bay of Plenty,130557,132364
2020.12,BDCQ.SED1RE,Gisborne,21450,21638
2020.12,BDCQ.SED1RF,Hawke's Bay,74413,75220
2020.12,BDCQ.SED1RG,Taranaki,50073,50570
2020.12,BDCQ.SED1RH,Manawatu-Whanganui,104474,105209
2020.12,BDCQ.SED1RI,Wellington,241506,243161
2020.12,BDCQ.SED1RJ,Tasman,22794,22987
2020.12,BDCQ.SED1RK,Nelson,19480,19605
2020.12,BDCQ.SED1RL,Marlborough,25074,25179
2020.12,BDCQ.SED1RM,West Coast,13974,13970
2020.12,BDCQ.SED1RN,Canterbury,278420,282281
2020.12,BDCQ.SED1RO,Otago,104841,105684
2020.12,BDCQ.SED1RP,Southland,45280,45689
2021.03,BDCQ.SED1RA,Northland,67128,67640
2021.03,BDCQ.SED1RB,Auckland,708896,715771
2021.03,BDCQ.SED1RC,Waikato,202584,203703
2021.03,BDCQ.SED1RD,Bay of Plenty,130306,131440
2021.03,BDCQ.SED1RE,Gisborne,21616,21790
2021.03,BDCQ.SED1RF,Hawke's Bay,75658,76359
2021.03,BDCQ.SED1RG,Taranaki,50405,50758
2021.03,BDCQ.SED1RH,Manawatu-Whanganui,104144,104706
2021.03,BDCQ.SED1RI,Wellington,239815,241057
2021.03,BDCQ.SED1RJ,Tasman,22914,23104
2021.03,BDCQ.SED1RK,Nelson,19382,19525
2021.03,BDCQ.SED1RL,Marlborough,25005,25099
2021.03,BDCQ.SED1RM,West Coast,13900,13910
2021.03,BDCQ.SED1RN,Canterbury,277381,280156
2021.03,BDCQ.SED1RO,Otago,104361,105359
2021.03,BDCQ.SED1RP,Southland,45855,46351
2021.06,BDCQ.SED1RA,Northland,68288,69064
